Year,Revenue,Net Income,Total Assets,Total Equity,EPS,ROE (%),ROA (%),Net Margin (%),Debt/Equity,P/E Ratio,P/B Ratio
2025,477606859.0,15946765.0,399350912.0,247354218.0,6.772030976754694,6.446934735513586,3.9931710485238607,3.3388894442154564,0.614490002349586,8.092107107617124,0.5216928639559322
2024,471286765.0,14474471.0,399064485.0,236745886.0,6.146799428231211,6.113927149720355,3.627100767937292,3.0712661748521626,0.685623736667593,8.915208742343676,0.5450693677523925
2023,460436761.0,18092944.0,403280562.0,230018269.0,7.683437815048254,7.865872601623656,4.486440881323707,3.9295176954821813,0.7532544860599747,7.132224053752667,0.5610116577305431
